어떤,"some, certain;<br>what kind of",,,,[sound:whatkind.mp3],342
춤추다,to dance,,,,,343
때,time; when;<div>occasion;</div><div>dirt</div>,,,,,344
언니,older sister (of a female),,,,[sound:eonni.mp3],345
준비,"preparation, arrangement",,,準備,[sound:preparation.mp3],346
울다,to cry,,,,[sound:tocry.mp3],347
일월,January,,,一月,[sound:january.mp3],348
가수,singer,,,歌手,[sound:singer.mp3],349
그래도,"nevertheless, still, however",,,,,350
찍다,to take a picture;<br />to mark,,,,[sound:totakeapic.mp3],351
초콜릿,chocolate,,,,,352
일찍,early (adv.),,,,[sound:early.mp3],353
잠,"sleep, nap",,,,,354
힘들다,"to be difficult, tiring, painful",,,,,355
아빠,dad,,,,,356
김치,kimchi (traditional Korean dish made of seasoned vegetables and other ingredients),,,,,357
작년,last year,,,昨年,,358
내다,to pay;<div>to hand in;<br /><div>to produce</div></div>,,,,[sound:topay.mp3],359
영국,United Kingdom,,,英國,,360
주말,weekend,,,週末,[sound:weekend.mp3],361
그렇지만,"but, however",,,,,362
따뜻하다,"to be warm, kind",,,,,363
이월,February,,,二月,,364
핸드폰,cellphone,,,,[sound:cellphone.mp3],365
씻다,to wash,,,,[sound:towash.mp3],366
편지,"letter, note",,,便紙·片紙,[sound:letter.mp3],367
봄,spring,,,,,368
슬프다,to be sad,,,,[sound:tobesad.mp3],369
오전,before noon,,,午前,[sound:am.mp3],370
인터넷,internet,,,,[sound:internet.mp3],371
맵다,"to be spicy, hot;<div>to be intense</div>",,,,[sound:tobespicy.mp3],372
백화점,department store,,,百貨店,[sound:depatmstore.mp3],373
명,counter for people,,,名,,374
검다,to be black,,,,,375
얘기,"story;<div>talk, conversation</div>",,,,,376
제일,the most,,,第一,[sound:most1.mp3],377
빌리다,to borrow,,,,[sound:toborrow.mp3],378
포도,grape,,,葡萄,,379
삼월,March,,,三月,,380
걷다,to walk,,,,[sound:towalk.mp3],381
공항,airport,,,空港,,382
달,"month, moon",,,,,383
농구,basketball,,,籠球,,384
세수하다,to wash one's face,,,洗手,[sound:towashface.mp3],385
가끔,sometimes,,,,[sound:sometimes.mp3],386
씨,"Mr., Ms.;<div>seed, kernel</div>",,,氏,,387
보내다,to send;<br />to pass (spend) time,,,,[sound:tosend.mp3],388
오후,after noon,,,午後,[sound:pm.mp3],389
서점,bookstore,,,書店,[sound:bookstore.mp3],390
배고프다,to be hungry,,,,[sound:tobehungry.mp3],391
무엇,"what, which, something (the unshortened form of 뭐)",,,,,392
맛,taste,,,,[sound:taste.mp3],393
비빔밥,boiled rice with assorted mixtures,,,,,394
걸리다,"to take time;<div>to be caught</div><div><img src=""take-time.jpeg"" /></div><div><img src=""get-caught.jpeg"" /></div>",,,,[sound:totaketime.mp3],395
창문,window,,,窓門,,396
일본어,Japanese (language),,,日本語,,397
싫어하다,to dislike,,,,[sound:todislike.mp3],398
또,"in addition,",また、,"<img src=""in-addition.png"" />",,,399
기억,memory,,,記憶,[sound:memory.mp3],400
검은색,black,,,,,401
치다,"to play a game;<br>to hit, attack",,,,[sound:tohit.mp3],402
나무,tree; wood,,,,[sound:wood.mp3],403
대답,answer,,,對答,,404
설악산,Seoraksan (mountain),,,雪嶽山,[sound:soraksan.mp3],405
깨끗하다,to be clean,,,,,406
모두,"all together, everyone",,,,,407
너,you (<i>informal</i>),,,,[sound:you.mp3],408
그래,"yes, okay",,,,,409
수고하다,"to work hard, keep up the effort",,,,,410
먼저,"first, ahead",,,,[sound:first.mp3],411
층,floor (count.),,,層,[sound:floor.mp3],412
사월,April,,,四月,,413
조용하다,to be quiet,,,,[sound:tobequiet.mp3],414
사무실,office,,,事務室,[sound:office.mp3],415
벌써,already,,,,[sound:already.mp3],416
들어가다,"to enter, go in",,,,[sound:toenter.mp3],417
잠시,for a while,しばらく,"<img src=""for-a-while.jpeg"" />",暫時,,418
위,above;<div>stomach</div>,,,胃,[sound:above.mp3],419
한번,one time,,,-番,,420
귀엽다,to be cute,,,,[sound:tobecute.mp3],421
부엌,kitchen,,,,,422
이런,such,,,,,423
소개하다,"to introduce, recommend",,,紹介,,424
목,neck;<div>throat</div>,,,,[sound:neck.mp3],425
여러,"many, several",,,,[sound:many.mp3],426
흰색,white,,,,,427
가지다,to posess (have),,,,,428
할머니,grandmother,,,,[sound:grandmother.mp3],429
만약,if,,,萬若,,430
화,"anger;<div>disaster, misfortune</div>",,,"火,&nbsp;禍",[sound:anger.mp3],431
잘하다,"to do well, be skillful",,,,[sound:todowell.mp3],432
오이,cucumber,,,,,433
처음,for the first time;<div>the origin</div>,,,,,434
비슷하다,to be similar,,,,[sound:tobesimilar.mp3],435
칠월,July,,,七月,,436
길,"street, road",,,,[sound:road.mp3],437
어느,which,,,,,438
축하하다,to congratulate,,,祝賀,[sound:tocongratulate.mp3],439
택시,taxi,,,,[sound:taxi.mp3],440
마지막,"the last, final one",,,,[sound:last.mp3],441
한국말,Korean language,,,韓國-,,442
서다,to stand;<div>to stop</div>,,,,,443
속,inside,,,,,444
빨간색,red,,,,,445
빨래하다,to do laundry,,,,[sound:todolaundry.mp3],449
팔월,August,,,八月,,447
수박,watermelon,,,,[sound:watermelon.mp3],448
차갑다,to be cold (regarding objects),,,,[sound:tobecold (1).mp3],446
대,counter for vehicles and other machinery,,,臺,,450
종이,paper,,,,[sound:paper.mp3],451
며칠,several days;<div>day of the month</div>,,,,,452
걱정하다,to worry,,,,[sound:toworry.mp3],453
테이블,table,,,,,454
오래,a long time,,,,,455
배우,actor,,,俳優,,456
